Date : 2025-05-13 12:50:17
Directory : /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage
Total : 193 files,  19434 codes, 1337 comments, 2361 blanks, all 23132 lines

Languages
+-----------------+------------+------------+------------+------------+------------+
| language        | files      | code       | comment    | blank      | total      |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/lib/features/activities/presentation/screens/activity_list_screen.dart      | Dart            |        319 |          3 |         16 |        338 |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/lib/features/activities/presentation/screens/create_activity_screen.dart    | Dart            |        570 |         15 |         29 |        614 |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/lib/features/activities/presentation/screens/edit_activity_screen.dart      | Dart            |        423 |          0 |         17 |        440 |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/lib/features/activities/presentation/widgets/activity_card.dart             | Dart            |        172 |          0 |          8 |        180 |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/lib/features/activities/presentation/widgets/activity_list.dart             | Dart            |         84 |          0 |          5 |         89 |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/lib/features/activities/presentation/widgets/add_activity_button.dart       | Dart            |         15 |          0 |          4 |         19 |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/lib/features/activities/presentation/widgets/daily_habits.dart              | Dart            |        172 |          6 |         16 |        194 |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/lib/features/activities/presentation/widgets/dashboard_activities.dart      | Dart            |         94 |          0 |          4 |         98 |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/lib/features/auth/data/models/user_model.dart                               | Dart            |         31 |          0 |          8 |         39 |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/lib/features/auth/data/services/auth_service.dart                           | Dart            |         55 |          2 |         13 |         70 |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/lib/features/auth/presentation/screens/login_screen.dart                    | Dart            |        271 |          6 |         12 |        289 |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/lib/features/calendar/presentation/screens/calendar_screen.dart             | Dart            |        261 |         11 |         18 |        290 |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/lib/features/dashboard/controllers/dashboard_controller.dart                | Dart            |        525 |         52 |         83 |        660 |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/lib/features/dashboard/domain/voice_command_handler.dart                    | Dart            |        176 |          1 |         25 |        202 |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/lib/features/dashboard/presentation/screens/dashboard_screen.dart           | Dart            |        210 |          9 |         26 |        245 |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/lib/features/dashboard/presentation/services/voice_command_handler.dart     | Dart            |        176 |          1 |         25 |        202 |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/lib/features/dashboard/presentation/widgets/activities_section.dart         | Dart            |        161 |         10 |         17 |        188 |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/lib/features/dashboard/presentation/widgets/ai_assistant_sheet.dart         | Dart            |        283 |          1 |         33 |        317 |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/lib/features/dashboard/presentation/widgets/ai_recommendation_card.dart     | Dart            |        128 |          0 |          4 |        132 |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/lib/features/dashboard/presentation/widgets/ai_recommendations.dart         | Dart            |        899 |         20 |         66 |        985 |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/lib/features/dashboard/presentation/widgets/ai_recommendations_section.dart | Dart            |          0 |          0 |          1 |          1 |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/lib/features/dashboard/presentation/widgets/dashboard_app_bar.dart          | Dart            |         41 |          0 |          4 |         45 |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/lib/features/dashboard/presentation/widgets/day_overview_section.dart       | Dart            |        142 |          0 |          7 |        149 |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/lib/features/dashboard/presentation/widgets/metric_card.dart                | Dart            |        147 |          0 |         12 |        159 |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/lib/features/dashboard/presentation/widgets/quick_stats_section.dart        | Dart            |        114 |          0 |          6 |        120 |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/lib/features/dashboard/presentation/widgets/time_block_card.dart            | Dart            |        129 |          0 |          6 |        135 |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/lib/features/habits/cubit/habit_cubit.dart                                  | Dart            |        125 |          0 |         16 |        141 |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/lib/features/habits/cubit/habit_state.dart                                  | Dart            |          8 |          0 |          2 |         10 |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/lib/features/habits/data/models/habit_model.dart                            | Dart            |        103 |          0 |         20 |        123 |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/lib/features/habits/data/models/time_of_day_adapter.dart                    | Dart            |         17 |          0 |          4 |         21 |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/lib/features/habits/data/repositories/habit_repository.dart                 | Dart            |        132 |          1 |         18 |        151 |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/lib/features/habits/data/repositories/habit_repository_impl.dart            | Dart            |        162 |          0 |         24 |        186 |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/lib/features/habits/domain/entities/habit.dart                              | Dart            |         18 |          0 |          4 |         22 |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/lib/features/habits/domain/repositories/habit_repository.dart               | Dart            |         10 |          0 |          2 |         12 |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/lib/features/habits/domain/services/habit_to_timeblock_service.dart         | Dart            |        290 |         77 |         67 |        434 |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/lib/features/habits/domain/usecases/get_habits_use_case.dart                | Dart            |         64 |          9 |          9 |         82 |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/lib/features/habits/presentation/screens/habits_screen.dart                 | Dart            |        309 |          3 |         26 |        338 |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/lib/features/habits/presentation/widgets/dashboard_habits.dart              | Dart            |         89 |          0 |          4 |         93 |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/lib/features/habits/presentation/widgets/edit_habit_sheet.dart              | Dart            |        285 |          6 |         18 |        309 |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/lib/features/habits/presentation/widgets/habit_card.dart                    | Dart            |         43 |          0 |          5 |         48 |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/lib/features/home/presentation/screens/home_screen.dart                     | Dart            |         74 |          5 |          9 |         88 |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/lib/features/settings/data/models/settings_model.dart                       | Dart            |         52 |          0 |         12 |         64 |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/lib/features/settings/data/services/settings_service.dart                   | Dart            |         41 |          0 |         11 |         52 |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/lib/features/settings/presentation/providers/settings_provider.dart         | Dart            |         45 |          0 |         11 |         56 |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/lib/features/settings/presentation/screens/settings_screen.dart             | Dart            |        193 |          0 |          6 |        199 |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/lib/features/settings/presentation/screens/theme_settings_screen.dart       | Dart            |        245 |         10 |         13 |        268 |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/lib/features/settings/presentation/widgets/settings_section.dart            | Dart            |         97 |          4 |          9 |        110 |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/lib/features/tasks/cubit/task_cubit.dart                                    | Dart            |         27 |          0 |          8 |         35 |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/lib/features/tasks/data/models/subtask_model.dart                           | Dart            |         16 |          0 |          4 |         20 |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/lib/features/tasks/data/models/task_model.dart                              | Dart            |         18 |          0 |          4 |         22 |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/lib/features/tasks/data/repositories/subtask_repository.dart                | Dart            |          8 |          0 |          2 |         10 |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/lib/features/tasks/data/repositories/subtask_repository_impl.dart           | Dart            |         37 |          0 |          7 |         44 |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/lib/features/tasks/data/repositories/task_repository.dart                   | Dart            |          9 |          0 |          2 |         11 |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/lib/features/tasks/data/repositories/task_repository_impl.dart              | Dart            |         39 |          0 |          8 |         47 |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/lib/features/tasks/presentation/screens/tasks_screen.dart                   | Dart            |        129 |          0 |         10 |        139 |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/lib/features/tasks/presentation/widgets/subtask_list.dart                   | Dart            |         99 |          0 |         12 |        111 |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/lib/features/timeblocks/data/models/time_block_model.dart                   | Dart            |        114 |         27 |         21 |        162 |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/lib/features/timeblocks/data/repositories/time_block_repository.dart        | Dart            |        219 |         54 |         32 |        305 |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/lib/features/timeblocks/presentation/screens/create_time_block_screen.dart  | Dart            |        400 |         11 |         18 |        429 |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/lib/features/timeblocks/presentation/screens/edit_time_block_screen.dart    | Dart            |         18 |          0 |          5 |         23 |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/lib/features/timeblocks/presentation/screens/time_blocks_screen.dart        | Dart            |        376 |         27 |         38 |        441 |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/lib/features/timeblocks/presentation/widgets/time_block_card.dart           | Dart            |        156 |          2 |          7 |        165 |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/lib/features/timeblocks/presentation/widgets/time_block_timeline.dart       | Dart            |        290 |          0 |         24 |        314 |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/lib/main.dart                                                               | Dart            |        182 |         20 |         22 |        224 |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/linux/CMakeLists.txt                                                        | CMake           |        104 |          0 |         25 |        129 |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/linux/flutter/CMakeLists.txt                                                | CMake           |         79 |          0 |         10 |         89 |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/linux/flutter/generated_plugin_registrant.cc                                | C++             |          3 |          4 |          5 |         12 |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/linux/flutter/generated_plugin_registrant.h                                 | C++             |          5 |          5 |          6 |         16 |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/linux/flutter/generated_plugins.cmake                                       | CMake           |         18 |          0 |          6 |         24 |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/linux/runner/CMakeLists.txt                                                 | CMake           |         21 |          0 |          6 |         27 |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/linux/runner/main.cc                                                        | C++             |          5 |          0 |          2 |          7 |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/linux/runner/my_application.cc                                              | C++             |         83 |         21 |         27 |        131 |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/linux/runner/my_application.h                                               | C++             |          7 |          7 |          5 |         19 |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/macos/Flutter/GeneratedPluginRegistrant.swift                               | Swift           |         12 |          3 |          4 |         19 |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/macos/Runner/AppDelegate.swift                                              | Swift           |         11 |          0 |          3 |         14 |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/macos/Runner/Assets.xcassets/AppIcon.appiconset/Contents.json               | JSON            |         68 |          0 |          0 |         68 |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/macos/Runner/Base.lproj/MainMenu.xib                                        | XML             |        343 |          0 |          1 |        344 |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/macos/Runner/MainFlutterWindow.swift                                        | Swift           |         12 |          0 |          4 |         16 |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/macos/RunnerTests/RunnerTests.swift                                         | Swift           |          7 |          2 |          4 |         13 |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/pubspec.yaml                                                                | YAML            |         73 |         31 |         11 |        115 |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/test/features/habits/domain/usecases/get_habits_use_case_test.dart          | Dart            |        126 |         18 |         22 |        166 |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/test/widget_test.dart                                                       | Dart            |         23 |         11 |          7 |         41 |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/test/widgets/accessible_app_test.dart                                       | Dart            |         97 |         12 |         20 |        129 |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/test/widgets/accessible_button_test.dart                                    | Dart            |         93 |         15 |         17 |        125 |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/test/widgets/accessible_card_test.dart                                      | Dart            |        136 |         12 |         26 |        174 |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/test/widgets/accessible_scaffold_test.dart                                  | Dart            |        131 |         10 |         25 |        166 |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/test/widgets/animated_list_item_test.dart                                   | Dart            |         78 |         14 |         20 |        112 |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/test/widgets/bottom_navigation_test.dart                                    | Dart            |        165 |         10 |         20 |        195 |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/test/widgets/custom_app_bar_test.dart                                       | Dart            |        151 |         11 |         25 |        187 |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/test/widgets/expandable_fab_test.dart                                       | Dart            |        230 |         25 |         38 |        293 |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/test/widgets/hover_scale_test.dart                                          | Dart            |        106 |         18 |         26 |        150 |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/test/widgets/mobile_animated_list_test.dart                                 | Dart            |         95 |         14 |         19 |        128 |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/web/index.html                                                              | HTML            |         19 |         15 |          5 |         39 |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/web/manifest.json                                                           | JSON            |         35 |          0 |          0 |         35 |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/windows/CMakeLists.txt                                                      | CMake           |         89 |          0 |         20 |        109 |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/windows/flutter/CMakeLists.txt                                              | CMake           |         98 |          0 |         12 |        110 |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/windows/flutter/generated_plugin_registrant.cc                              | C++             |          3 |          4 |          5 |         12 |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/windows/flutter/generated_plugin_registrant.h                               | C++             |          5 |          5 |          6 |         16 |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/windows/flutter/generated_plugins.cmake                                     | CMake           |         18 |          0 |          6 |         24 |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/windows/runner/CMakeLists.txt                                               | CMake           |         34 |          0 |          7 |         41 |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/windows/runner/flutter_window.cpp                                           | C++             |         49 |          7 |         16 |         72 |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/windows/runner/flutter_window.h                                             | C++             |         20 |          5 |          9 |         34 |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/windows/runner/main.cpp                                                     | C++             |         30 |          4 |         10 |         44 |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/windows/runner/resource.h                                                   | C++             |          9 |          6 |          2 |         17 |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/windows/runner/utils.cpp                                                    | C++             |         54 |          2 |         10 |         66 |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/windows/runner/utils.h                                                      | C++             |          8 |          6 |          6 |         20 |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/windows/runner/win32_window.cpp                                             | C++             |        210 |         24 |         55 |        289 |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/windows/runner/win32_window.h                                               | C++             |         48 |         31 |         24 |        103 |
| Total                                                                                                                                             |                 |     19,434 |      1,337 |      2,361 |     23,132 |
+---------------------------------------------------------------------------------------------------------------------------------------------------+-----------------+------------+------------+------------+------------+
